repository.name,repository.full_name,repository.html_url,repository.description
OpenDPMH,jeancomp/OpenDPMH,https://github.com/jeancomp/OpenDPMH,Framework to Facilitate the Development of Digital Phenotyping Applications
beiwe_missing_data,mkiang/beiwe_missing_data,https://github.com/mkiang/beiwe_missing_data,Sociodemographic Characteristics of Missing Data in Digital Phenotyping
beiwe,onnela-lab/beiwe,https://github.com/onnela-lab/beiwe,Beiwe is a smartphone-based digital phenotyping research platform.
Plugin,jeancomp/Plugin,https://github.com/jeancomp/Plugin,Plugin: application that makes up the OpenDP framework.
beiwe-backend,onnela-lab/beiwe-backend,https://github.com/onnela-lab/beiwe-backend,Beiwe is a smartphone-based digital phenotyping research platform. This is the Beiwe backend code
BraPolar,abelgonzalez/BraPolar,https://github.com/abelgonzalez/BraPolar,"BraPolar is an Android m-Health for remote monitoring patients with Bipolar Affective Disorder, presenting real-time mood and behavior fluctuations in participants through interaction with their mobile devices. "
beiwe-backend,onnela-lab/beiwe-backend,https://github.com/onnela-lab/beiwe-backend,Beiwe is a smartphone-based digital phenotyping research platform. This is the Beiwe backend code
open-sustainable-technology,protontypes/open-sustainable-technology,https://github.com/protontypes/open-sustainable-technology,"A curated list of open technology projects to sustain a stable climate, energy supply, and natural resources. "
IROS2021PaperList,dectrfov/IROS2021PaperList,https://github.com/dectrfov/IROS2021PaperList,IROS 2021 paper list
IROS2020-paper-list,PaoPaoRobot/IROS2020-paper-list,https://github.com/PaoPaoRobot/IROS2020-paper-list,IROS2020 paperlist by paopaorobot
awesome-IROS2020-paper-list,qxiaofan/awesome-IROS2020-paper-list,https://github.com/qxiaofan/awesome-IROS2020-paper-list,汇总了IROS论文集
