repository.name,repository.full_name,repository.html_url,repository.description
DigitalPhenotypingVIP,ZhengsenF/DigitalPhenotypingVIP,https://github.com/ZhengsenF/DigitalPhenotypingVIP,
OpenDPMH,jeancomp/OpenDPMH,https://github.com/jeancomp/OpenDPMH,Framework to Facilitate the Development of Digital Phenotyping Applications
CCU013_01_ENG-COVID-19_event_phenotyping,BHFDSC/CCU013_01_ENG-COVID-19_event_phenotyping,https://github.com/BHFDSC/CCU013_01_ENG-COVID-19_event_phenotyping,COVID-19 trajectories among 57 million adults in England: a cohort study using electronic health records
REP-ASCA,RYCKEWAERT/REP-ASCA,https://github.com/RYCKEWAERT/REP-ASCA,Reduction of repeatability error for Analysis of variance-Simultaneous Component Analysis (REP-ASCA)
Apple-Detection-Data-Challenge,DocZineAIP/Apple-Detection-Data-Challenge,https://github.com/DocZineAIP/Apple-Detection-Data-Challenge,This project was build to invite all interested people in computer vision to solve a real life problem during automation of detection (multiscaling)
digital-lodging,singhdj2/digital-lodging,https://github.com/singhdj2/digital-lodging,R scripts and supporting data for phenomics enabled genetic dissection of lodging in wheat
Global-Wheat-Detection-From-University-of-Saskatchewan,reddyprasade/Global-Wheat-Detection-From-University-of-Saskatchewan,https://github.com/reddyprasade/Global-Wheat-Detection-From-University-of-Saskatchewan,"Global WHEAT Dataset is the first large-scale dataset for wheat head detection from field optical images. It included a very large range of cultivars from differents continents. Wheat is a staple crop grown all over the world and consequently interest in wheat phenotyping spans the globe. Therefore, it is important that models developed for wheat phenotyping, such as wheat head detection networks, generalize between different growing environments around the world."
Intro_to_digital_agro,mishagrol/Intro_to_digital_agro,https://github.com/mishagrol/Intro_to_digital_agro,
beiwe_missing_data,mkiang/beiwe_missing_data,https://github.com/mkiang/beiwe_missing_data,Sociodemographic Characteristics of Missing Data in Digital Phenotyping
phenome2020-workshop,danforthcenter/phenome2020-workshop,https://github.com/danforthcenter/phenome2020-workshop,Phenome 2020 Digital Phenotyping workshop materials
ST_book_chapter,FridleyLab/ST_book_chapter,https://github.com/FridleyLab/ST_book_chapter,"A primer on pre-processing, visualization, clustering, and phenotyping of barcode-based spatial transcriptomics data (from the book ""Statistical Genomics"") – Code to generate images in the the chapter"
checkmyplant,apoptosus/checkmyplant,https://github.com/apoptosus/checkmyplant,Flask site monitoring my houseplant's condition
apple_watch_data_analysis,raviolli77/apple_watch_data_analysis,https://github.com/raviolli77/apple_watch_data_analysis,Repo to supplement the rfordatascience community talk 
LAMP-core-ios,BIDMCDigitalPsychiatry/LAMP-core-ios,https://github.com/BIDMCDigitalPsychiatry/LAMP-core-ios,Core scaffolding for digital phenotyping apps with reactive user interfaces. (iOS)
easy-rfp,lab1055/easy-rfp,https://github.com/lab1055/easy-rfp,
Harvard-Project-Digital-Phenotyping,silviodaniel/Harvard-Project-Digital-Phenotyping,https://github.com/silviodaniel/Harvard-Project-Digital-Phenotyping,"Working with JP Onnela and Patrick Staples on this project to analyze daily health behaviors through smartphone data. This can help to better understand and predict worsening conditions among patients with mental illness, like schizophrenia and depression. It has been found that this understanding can predict and prevent hospitalizations a few days before it occurs."
Digital-Phenotyping-in-DIAMANTE,kiatkai96/Digital-Phenotyping-in-DIAMANTE,https://github.com/kiatkai96/Digital-Phenotyping-in-DIAMANTE,FYP Project
