repository.name,repository.full_name,repository.html_url,repository.description
measurement-prediction-framework,m-r-s/measurement-prediction-framework,https://github.com/m-r-s/measurement-prediction-framework,Essential Measurement Applications (EMA) integrated with scripts to simulate the measurements with FADE
Article.EMA.Java.SLF4J,Refinitiv-API-Samples/Article.EMA.Java.SLF4J,https://github.com/Refinitiv-API-Samples/Article.EMA.Java.SLF4J,This article will show how to integrate your EMA Java 1.3.x application with Log4j in a Maven way.
bfx-hf-strategy-py,bitfinexcom/bfx-hf-strategy-py,https://github.com/bitfinexcom/bfx-hf-strategy-py,
Real-ESRGAN-TensorFlow,vincent1bt/Real-ESRGAN-TensorFlow,https://github.com/vincent1bt/Real-ESRGAN-TensorFlow,Real-ESRGAN Implementation using TensorFlow
Geo-DefakeHop,hongshuochen/Geo-DefakeHop,https://github.com/hongshuochen/Geo-DefakeHop,
Atelie-da-Casa-Museu-Ema-Klabin,ema-klabin/Atelie-da-Casa-Museu-Ema-Klabin,https://github.com/ema-klabin/Atelie-da-Casa-Museu-Ema-Klabin,
phema.github.io,PheMA/phema.github.io,https://github.com/PheMA/phema.github.io,The Phenotype Execution Modeling Architecture (PhEMA) project
Awesome-list-of-Haskell-mentors,willbasky/Awesome-list-of-Haskell-mentors,https://github.com/willbasky/Awesome-list-of-Haskell-mentors,An amazing list of Haskell developers who would like to mentor beginner-contributors in open source projects.
ZFundPredictor,ZxZ7/ZFundPredictor,https://github.com/ZxZ7/ZFundPredictor,"A Fund Price Prediction Framework (LSTM-based, web scraping included) 天天基金网爬虫+基金预测"
torcheras,hackiey/torcheras,https://github.com/hackiey/torcheras,A keras style's pytorch framework
backtest,Yanjing-PENG/backtest,https://github.com/Yanjing-PENG/backtest,"A python framework to implement backtest research for trading strategies, especially for CTA strategies."
binance-trading-bot,enniorampello/binance-trading-bot,https://github.com/enniorampello/binance-trading-bot,Cryptocurrency trading bot built to work on binance exchange
ema-jhon-react,Mosiur-Rahman-1/ema-jhon-react,https://github.com/Mosiur-Rahman-1/ema-jhon-react,"A simple Amazon.com website clone. That let the users or buyers buy the offered products . Checked out, Add or remove products. That provide them a simple ecommerce experience"
Stock-Trading-Helper,Jefflin413/Stock-Trading-Helper,https://github.com/Jefflin413/Stock-Trading-Helper,This project aims to develop a web application that is useful and convenient for people who want to do algorithmic trading. The features include a real-time stock chart with multiple adjustable options; a trading strategy setting function which allows user to arbitrarily compose provided indicator frameworks to set multiple automated trading programs; a backtesting function that is used to examine the effeteness of a strategy.
BigGAN-paddle,zzz2010/BigGAN-paddle,https://github.com/zzz2010/BigGAN-paddle,
one-bit-supervision,huhengtong/one-bit-supervision,https://github.com/huhengtong/one-bit-supervision,"The source code for the NeurIPS 2020 paper ""One-bit Supervision for Image Classification"""
Ema,gazinbendigo/Ema,https://github.com/gazinbendigo/Ema,
bfx-hf-strategy-dazaar,bitfinexcom/bfx-hf-strategy-dazaar,https://github.com/bitfinexcom/bfx-hf-strategy-dazaar,
EmaCartoon-Portfolio,emacartoon/EmaCartoon-Portfolio,https://github.com/emacartoon/EmaCartoon-Portfolio,My Personal Portfolio for Bootcamp
Backtester,vipultanwr/Backtester,https://github.com/vipultanwr/Backtester,
CoinTK,CoinTK/CoinTK,https://github.com/CoinTK/CoinTK,[HackIllinois 17 Winner] Bitcoin Trading Algorithm Backtesting and Analysis Toolkit
ema-john-simple,NajahNarjish/ema-john-simple,https://github.com/NajahNarjish/ema-john-simple,
SupCon-Framework,ivanpanshin/SupCon-Framework,https://github.com/ivanpanshin/SupCon-Framework,"Implementation of Supervised Contrastive Learning with AMP, EMA, SWA, and many other tricks "
QPL,DanielRabl/QPL,https://github.com/DanielRabl/QPL,
EfficientNets_ddl_apex,xslidi/EfficientNets_ddl_apex,https://github.com/xslidi/EfficientNets_ddl_apex,A Pytorch implementation of EfficientNet-B0 on ImageNet
Trady,kuco23/Trady,https://github.com/kuco23/Trady,Trading bot framework (on Binance)
dynamic,phymucs/dynamic,https://github.com/phymucs/dynamic,
Urban-SETP,keesvanginkel/Urban-SETP,https://github.com/keesvanginkel/Urban-SETP,Flood risk and house price tipping points for an archetypical coastal city under many sea level rise scenarios and dynamic adaptive policies.
ema_check_vector_mqi,ActianCorp/ema_check_vector_mqi,https://github.com/ActianCorp/ema_check_vector_mqi,A command line utility for check the health status of a VectorH cluster
Werk,AgalmicVentures/Werk,https://github.com/AgalmicVentures/Werk,High-throughput / low-latency C++ application framework
korsa,srkuberski/korsa,https://github.com/srkuberski/korsa,KORSA processing framework
it-events-source,Defkon1/it-events-source,https://github.com/Defkon1/it-events-source,"Il codice sorgente di CalendarioEventi.dev, basato su Gatsby e Grommet"
MetaIRNet,apple2373/MetaIRNet,https://github.com/apple2373/MetaIRNet,Meta-Reinforced Synthetic Data for One-Shot Fine-Grained Visual Recognition (NeurIPS 2019)
gatsby-starter-portfolio,bstizzle/gatsby-starter-portfolio,https://github.com/bstizzle/gatsby-starter-portfolio,portfolio starting from a gatsby starter theme
Trabalhe-Conosco,StheffanySilva/Trabalhe-Conosco,https://github.com/StheffanySilva/Trabalhe-Conosco,Projeto de Robot Frameword realizado  na JobCamp (Qa.Coders / Prime Control)
CHKLineChart,zhiquan911/CHKLineChart,https://github.com/zhiquan911/CHKLineChart,"纯Swift4.0代码编写的K线图表组件，支持：MA,EMA,BOLL,SAR,KDJ,MACD等技术指标显示。集成使用简单，二次开发扩展强大"
TSOMpy,uni-tue-kn/TSOMpy,https://github.com/uni-tue-kn/TSOMpy,Time Series Online Measurement for Python
vuepoint,mattbrailsford/vuepoint,https://github.com/mattbrailsford/vuepoint,A vuejs based dashboard framework
splGoldenDeathX,UTexas80/splGoldenDeathX,https://github.com/UTexas80/splGoldenDeathX,Starpharma Golden / Death Cross analysis
USF4-Character-Extractor,Barnacle/USF4-Character-Extractor,https://github.com/Barnacle/USF4-Character-Extractor,USF4 Character Viewer & Extractor
ema-john-client,iamraufu/ema-john-client,https://github.com/iamraufu/ema-john-client,MERN Stack Project with Firebase authentication and Stripe Payment Gateway
LaNet,yuanjunyj/LaNet,https://github.com/yuanjunyj/LaNet,
BMSG-GAN,akanimax/BMSG-GAN,https://github.com/akanimax/BMSG-GAN,[MSG-GAN] Any body can GAN! Highly stable and robust architecture. Requires little to no hyperparameter tuning. Pytorch Implementation
AdaDM,njulj/AdaDM,https://github.com/njulj/AdaDM,AdaDM: Enabling Normalization for Image Super-Resolution
Alpaca_API_Trading,YuxinSUN89/Alpaca_API_Trading,https://github.com/YuxinSUN89/Alpaca_API_Trading,
ema-john-server,iamraufu/ema-john-server,https://github.com/iamraufu/ema-john-server,Amazon Clone App - Server Side
RAPID,cameronmcphail/RAPID,https://github.com/cameronmcphail/RAPID,
EULERA,s0v1x/EULERA,https://github.com/s0v1x/EULERA,Eulera Dashboard is an easy and intuitive way to get a quick feel of what’s happening on the world’s market.
Style-MSG-GAN,Iceland-Leo/Style-MSG-GAN,https://github.com/Iceland-Leo/Style-MSG-GAN,A style based GAN with MSG training method
DEBS_2022_GrandChallenge,skalogerakis/DEBS_2022_GrandChallenge,https://github.com/skalogerakis/DEBS_2022_GrandChallenge,
webhook-server,DankMemer/webhook-server,https://github.com/DankMemer/webhook-server,The express server that we use to handle incoming webhooks from various services.
TTR,joshuaulrich/TTR,https://github.com/joshuaulrich/TTR,Technical analysis and other functions to construct technical trading rules with R
uas-antrian,emarosida20/uas-antrian,https://github.com/emarosida20/uas-antrian,
tyche,magicronn/tyche,https://github.com/magicronn/tyche,stock & option backtesting framework
e2e-react-native-detox,EmaSuriano/e2e-react-native-detox,https://github.com/EmaSuriano/e2e-react-native-detox,Demo of react-native project using Detox
