repository.name,repository.full_name,repository.html_url,repository.description
PNS,jamieyap/PNS,https://github.com/jamieyap/PNS,Code and accompanying documentation within this repository focuses on curation of intensive longitudinal data (ILD) from EMA questionnaires from both pre- and post- quit periods; other data collected during the conduct of the study are beyond the scope of this repository and accompanying documentation. 
tinnitus-country,joa24jm/tinnitus-country,https://github.com/joa24jm/tinnitus-country,Find different patterns that TYT users report based on their country. Is it possible to predict the tinnitus using country as an independent variable?
awesome-ambulatory-assessment,JStumpp/awesome-ambulatory-assessment,https://github.com/JStumpp/awesome-ambulatory-assessment,A curated list of awesome tools and resources for the research method of ambulatory assessment. This includes the experience sampling method (ESM) and ecological momentary assessment (EMA).
HeartSteps,LisaGotzian/HeartSteps,https://github.com/LisaGotzian/HeartSteps,The HeartSteps data was collected during a mobile health intervention with the HeartSteps app and combines tracker data with the Google Fitbit and Jawbone as well as local weather data. 
good-data-movement.github.io,good-data-movement/good-data-movement.github.io,https://github.com/good-data-movement/good-data-movement.github.io,Website files
uniti-hackathon,MilenaEn/uniti-hackathon,https://github.com/MilenaEn/uniti-hackathon,
physiqual,roqua/physiqual,https://github.com/roqua/physiqual,Ruby Engine for merging various datasources with diary questionnaire data
NHANES_PCA_and_Clustering,durg3sh10/NHANES_PCA_and_Clustering,https://github.com/durg3sh10/NHANES_PCA_and_Clustering,We will take this dataset to understand how we analyze high-dimensional data. This dataset has nearly 200 features and we will put in action PCA and some clustering techniques to visualize insights from the dataset.
gitprint,libao3128/gitprint,https://github.com/libao3128/gitprint,
code-samples,snowkidind/code-samples,https://github.com/snowkidind/code-samples,Collection of code to provide examples of the things I have done
awesome-coronavirus,soroushchehresa/awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,🦠  Huge collection of useful projects and resources for COVID-19 (2019 novel Coronavirus)
