repository.name,repository.full_name,repository.html_url,repository.description
pytorch-diffusion,quickgrid/pytorch-diffusion,https://github.com/quickgrid/pytorch-diffusion,Implementation of diffusion models in pytorch for custom training.
dema-rs,sabinchitrakar/dema-rs,https://github.com/sabinchitrakar/dema-rs,Double Exponential Moving Average (DEMA) implementation in Rust
SMP2021-ECISA,myeclipse/SMP2021-ECISA,https://github.com/myeclipse/SMP2021-ECISA,SMP2021-ECISA 中文隐式情感分析评测第4名解决方案
Forex-Expert-Advisor,juliach98/Forex-Expert-Advisor,https://github.com/juliach98/Forex-Expert-Advisor,Forex Expert Advisor for automation of analytical and trading processes based on strategy EMA (4+13+50) + Stochastic.
ema,romulodl/ema,https://github.com/romulodl/ema,EMA (Exponential Moving Average) in php
tradingview-pinescript-4-ma-lines-indicator,nguyentamgm/tradingview-pinescript-4-ma-lines-indicator,https://github.com/nguyentamgm/tradingview-pinescript-4-ma-lines-indicator,The base lines for forex trading in Pine Script
ema-rs,sabinchitrakar/ema-rs,https://github.com/sabinchitrakar/ema-rs,Exponential Moving Average (EMA) implementation in Rust
EMA_system,ZS-Yang-TW/EMA_system,https://github.com/ZS-Yang-TW/EMA_system,
t3p-server,emanuelturtula/t3p-server,https://github.com/emanuelturtula/t3p-server,
vdvae,openai/vdvae,https://github.com/openai/vdvae,"Repository for the paper ""Very Deep VAEs Generalize Autoregressive Models and Can Outperform Them on Images"""
PivotOnEMA,TechRancher/PivotOnEMA,https://github.com/TechRancher/PivotOnEMA,Pivot On EMA is a Strategy I came up with to be used with ThinkorSwim:registered: platform. This Strategy uses 3 EMA and my Pivot RSI to give the user a buy long signal and or sell short signal.
s-ema-john-simple-main-updated,AMIN-SUAAD/s-ema-john-simple-main-updated,https://github.com/AMIN-SUAAD/s-ema-john-simple-main-updated,Live link: https://fir-ema-john-simple-main-57df3.web.app/
ema-js-parser,music-addressability/ema-js-parser,https://github.com/music-addressability/ema-js-parser,A generic parser in Typescript/JavaScript for Enhancing Music Notation Addressability (EMA) expressions
