repository.name,repository.full_name,repository.html_url,repository.description
aph_ema_handbook,jruwaard/aph_ema_handbook,https://github.com/jruwaard/aph_ema_handbook,EMA in Mental Health Research
About,bjaso6/About,https://github.com/bjaso6/About,
Models-for-Intensively-Collected-Mobile-Data,adamzhang822/Models-for-Intensively-Collected-Mobile-Data,https://github.com/adamzhang822/Models-for-Intensively-Collected-Mobile-Data,Computation algorithms and statistical models for mobile health data
vwm,daskalov/vwm,https://github.com/daskalov/vwm,
CA400-Final-Year-Project,pedrocanes/CA400-Final-Year-Project,https://github.com/pedrocanes/CA400-Final-Year-Project,CA400 Final Year Project: Daisy Voice Assistant
sleep_puberty_affect_associations,jackie-schwartz/sleep_puberty_affect_associations,https://github.com/jackie-schwartz/sleep_puberty_affect_associations,
surveyapp,wdwdz/surveyapp,https://github.com/wdwdz/surveyapp,
Coremelysis,Galdineris/Coremelysis,https://github.com/Galdineris/Coremelysis,Coremelysis is an app for experience sampling that uses machine learning for sentiment analysis.
esmpack,wviechtb/esmpack,https://github.com/wviechtb/esmpack,R package to facilitate the preparation and management of ESM/EMA data
IsolationAlert,Doge-is-Dope/IsolationAlert,https://github.com/Doge-is-Dope/IsolationAlert,👨‍⚕️ An Android app used to identify social status based on users' social activities
long.tools,myles-maillet/long.tools,https://github.com/myles-maillet/long.tools,R package for analyzing longitudinal data in the social sciences
PIDApp,Luca-Menghini/PIDApp,https://github.com/Luca-Menghini/PIDApp,Pulse Intervals Detection App: An R Shiny app to detect and process pulse intervals from pothoplethismography-based blood volume pulse
sensor_EMA_PD_monitoring,jgvhabets/sensor_EMA_PD_monitoring,https://github.com/jgvhabets/sensor_EMA_PD_monitoring,Code to test technical validity of public data set containing objective wearable sensor (accelerometer and gyroscope) data and subjective EMA (ecological momentary assessment) data.
awesome-ambulatory-assessment,JStumpp/awesome-ambulatory-assessment,https://github.com/JStumpp/awesome-ambulatory-assessment,A curated list of awesome tools and resources for the research method of ambulatory assessment. This includes the experience sampling method (ESM) and ecological momentary assessment (EMA).
EmotionTimeSeries,jmbh/EmotionTimeSeries,https://github.com/jmbh/EmotionTimeSeries,Data archive of seven open emotion time series from studies using Experience Sampling Methodology
anxiety_prediction,mlfpm/anxiety_prediction,https://github.com/mlfpm/anxiety_prediction,"Code and examples for ""Shift in Social Media App Usage During COVID-19 Lockdown and Clinical Anxiety Symptoms: Machine Learning–Based Ecological Momentary Assessment Study"""
SurveyMerge,bjventures/SurveyMerge,https://github.com/bjventures/SurveyMerge,Excel macros which merge multiple PIEL Survey data files and multiple survey runs.
Smartphone_Analysis,sy2399/Smartphone_Analysis,https://github.com/sy2399/Smartphone_Analysis,From smartphone data collection to modeling
nativescript-emai-framework,GeoTecINIT/nativescript-emai-framework,https://github.com/GeoTecINIT/nativescript-emai-framework,Easing the development of Ecological Momentary Assessment and Intervention apps
