source,repository.name,repository.full_name,repository.html_url,repository.description,included,reason,reason_other
GitHub API,EMA_system,ZS-Yang-TW/EMA_system,https://github.com/ZS-Yang-TW/EMA_system,,0,not_ema,
GitHub API,s-ema-john-simple-main-updated,AMIN-SUAAD/s-ema-john-simple-main-updated,https://github.com/AMIN-SUAAD/s-ema-john-simple-main-updated,Live link: https://fir-ema-john-simple-main-57df3.web.app/,0,not_ema,
GitHub API,EMA,Hazelsuko07/EMA,https://github.com/Hazelsuko07/EMA,,0,not_ema,
GitHub API,python-ema,derekjhyang/python-ema,https://github.com/derekjhyang/python-ema,,0,not_ema,
GitHub API,CrowdSim,floristevito/CrowdSim,https://github.com/floristevito/CrowdSim,Repository holding all the contents in regard to thesis work for a Master of Science in Engineering and Policy Analysis at the Delft University of Technology.,0,not_ema,
GitHub API,s22-ema,cs481-ekh/s22-ema,https://github.com/cs481-ekh/s22-ema,,0,not_ema,
GitHub API,forex-algo,Blake-Arledge/forex-algo,https://github.com/Blake-Arledge/forex-algo,Data Science bootcamp project attempting to use previous technical indicators and a that has been expanded upon,0,not_ema,
GitHub API,EMA_strategy,anuntarin/EMA_strategy,https://github.com/anuntarin/EMA_strategy,,0,not_ema,
GitHub API,ema_assistant,susom/ema_assistant,https://github.com/susom/ema_assistant,A REDCap EM to assist in running surveys that are part of an Ecological Momentary Assessment study,0,not_ema_framework,
GitHub API,MoodTracker-Tutorial,EmaApps/MoodTracker-Tutorial,https://github.com/EmaApps/MoodTracker-Tutorial,Ema tutorial: write a mood tracker,0,not_ema,
GitHub API,angular__cdk,esm-bundle/angular__cdk,https://github.com/esm-bundle/angular__cdk,ESM and SystemJS bundles for @angular/cdk,0,not_ema,
GitHub API,esm_yaml,pgierz/esm_yaml,https://github.com/pgierz/esm_yaml,,0,not_ema,
GitHub API,openmrs-esm-patient-management,devemmm/openmrs-esm-patient-management,https://github.com/devemmm/openmrs-esm-patient-management,,0,not_ema,
GitHub API,phema.github.io,PheMA/phema.github.io,https://github.com/PheMA/phema.github.io,The Phenotype Execution Modeling Architecture (PhEMA) project,0,not_ema_framework,
GitHub API,Ema,gazinbendigo/Ema,https://github.com/gazinbendigo/Ema,,0,not_ema,
GitHub API,ema-john-simple,NajahNarjish/ema-john-simple,https://github.com/NajahNarjish/ema-john-simple,,0,not_ema,
GitHub API,SupCon-Framework,ivanpanshin/SupCon-Framework,https://github.com/ivanpanshin/SupCon-Framework,"Implementation of Supervised Contrastive Learning with AMP, EMA, SWA, and many other tricks ",0,not_ema,
GitHub API,ema-john-client,iamraufu/ema-john-client,https://github.com/iamraufu/ema-john-client,MERN Stack Project with Firebase authentication and Stripe Payment Gateway,0,not_ema,
GitHub API,ema-john-server,iamraufu/ema-john-server,https://github.com/iamraufu/ema-john-server,Amazon Clone App - Server Side,0,not_ema,
GitHub API,RAPID,cameronmcphail/RAPID,https://github.com/cameronmcphail/RAPID,,0,not_ema,
GitHub API,PNS,jamieyap/PNS,https://github.com/jamieyap/PNS,Code and accompanying documentation within this repository focuses on curation of intensive longitudinal data (ILD) from EMA questionnaires from both pre- and post- quit periods,0,not_ema_framework,
GitHub API,tinnitus-country,joa24jm/tinnitus-country,https://github.com/joa24jm/tinnitus-country,Find different patterns that TYT users report based on their country. Is it possible to predict the tinnitus using country as an independent variable?,0,not_ema_framework,
